CustomerNumber|LastInvoiceDate|Billed 0-30|31-60|61-90|91-120|121+ |POR|RepID|ProcessThruDate
0003063315|2019-06-05|72.38|109.23|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003064909|2019-06-04|37.24|22.13|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003064969|2019-06-11|16.47|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003066475|2019-06-05|18.24|1.52|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003066479|2019-05-20|0.66|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003066504|2019-06-10|43.30|18.69|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003067047|2019-05-23|106.88|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003067108|2019-06-04|5.09|6.29|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003068373|2019-06-06|10.89|11.48|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003069054|2019-06-12|37.90|36.38|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003069057|2019-05-28|13.73|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003069060|2019-05-21|31.84|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003069619|2019-05-30|16.58|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003070215|2019-05-15|25.85|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003071283|2019-06-10|19.59|15.90|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003071877|2019-06-12|34.95|23.27|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003071939|2019-05-22|16.50|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003073849|2019-06-10|24.17|19.81|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003073856|2019-06-07|18.66|2.23|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003073858|2019-06-04|7.24|11.19|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003073859|2019-05-17|26.64|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003073865|2019-06-11|35.53|40.14|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003074889|2019-06-13|21.33|6.51|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003074903|2019-05-23|3.95|13.42|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003075018|2019-05-15|21.72|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003075641|2019-06-12|25.44|19.22|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003075645|2019-06-11|19.90|0.66|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003076142|2019-05-23|8.49|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003076151|2019-05-31|11.31|8.34|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003076560|2019-06-11|101.93|54.58|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003076580|2019-05-17|82.09|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003076613|2019-06-04|43.83|44.74|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003076708|2019-05-30|2.15|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003077085|2019-06-04|55.53|57.13|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003077122|2019-05-24|112.36|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003077200|2019-05-24|14.48|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003077622|2019-06-06|1.97|1.97|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003077678|2019-06-11|73.68|46.06|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003077710|2019-05-31|16.48|15.03|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003079247|2019-05-28|28.81|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003079262|2019-06-06|116.38|83.74|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003079862|2019-06-13|1.66|9.70|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003079874|2019-05-31|24.11|29.25|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003080392|2019-06-10|0.72|1.79|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003080512|2019-05-22|2.23|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003080931|2019-06-07|21.48|18.39|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003080990|2019-05-17|33.56|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003081015|2019-05-30|19.47|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003081339|2019-06-07|51.01|0.66|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003081839|2019-05-20|31.58|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003082283|2019-05-15|100.54|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003082308|2019-06-13|12.10|10.01|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003082759|2019-06-03|58.10|56.90|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003082760|2019-05-28|29.81|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003082800|2019-06-13|46.06|65.65|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003082880|2019-06-07|39.98|52.65|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083315|2019-06-03|28.56|2.04|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083335|2019-05-22|44.72|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083338|2019-06-05|31.23|3.95|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083780|2019-06-04|0.66|0.66|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083782|2019-06-10|98.30|35.43|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083784|2019-06-06|39.48|59.88|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083787|2019-05-31|10.23|9.66|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003083808|2019-06-13|31.65|25.69|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003085356|2019-06-04|34.42|28.19|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003085862|2019-06-04|1.52|1.52|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003085921|2019-06-05|76.36|76.34|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003087584|2019-06-10|32.57|25.47|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003088065|2019-06-04|3.29|2.63|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003088094|2019-06-07|2.63|3.95|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003089051|2019-05-20|192.93|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003089607|2019-06-05|49.87|26.31|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003090015|2019-06-10|0.66|1.32|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003090117|2019-05-01|0.00|12.33|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003090507|2019-06-05|51.16|34.92|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003090514|2019-05-24|26.95|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003090854|2019-05-17|44.74|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003091308|2019-05-20|21.03|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003092149|2019-05-30|23.04|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003092230|2019-05-15|31.30|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003092550|2019-06-13|20.75|16.01|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003092573|2019-05-09|0.00|74.35|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003093798|2019-06-04|1.67|2.79|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003094202|2019-06-13|27.93|23.64|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003094889|2019-06-07|68.88|88.97|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003095198|2019-05-20|1.97|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003095268|2019-06-04|-85.14|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003095270|2019-05-17|5.00|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003098264|2019-06-03|197.48|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003098913|2019-05-30|131.53|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003099028|2019-06-03|108.88|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003099929|2019-05-23|1.32|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003101468|2019-06-13|37.13|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003101521|2019-06-13|22.02|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003101554|2019-06-05|651.87|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003101619|2019-06-06|38.30|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003101956|2019-06-07|79.73|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003102854|2019-06-11|38.08|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003103668|2019-06-12|140.10|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003103679|2019-06-04|317.30|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003103745|2019-06-11|79.21|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003104422|2019-06-14|29.39|0.00|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003105197|2019-06-11|34.18|19.68|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
0003105199|2019-06-04|98.67|81.37|0.00|0.00|0.00|1|6|2019-06-17 03:59:59
